Station number,Station name,Region,Rainfall (mm),Latitude (°),Longitude (°),Elevation (m)
34035,MORANBAH AIRPORT,QLD,19.6,-22.06,148.08,232
82148,TOO ROUR (MOROKO PARK),VIC,19.6,-36.83,145.85,590
88164,EILDON FIRE TOWER,VIC,19.6,-37.21,145.84,637
89002,BALLARAT AERODROME,VIC,19.4,-37.51,143.79,435
90001,APOLLO BAY,VIC,19.4,-38.76,143.67,10
22843,PARNDANA CFS AWS,SA,19.2,-35.79,137.25,165
82146,GOORAM (MORELLA),VIC,19.2,-36.93,145.58,320
84152,MOUNT DELEGATE,VIC,19.2,-37.11,148.90,-999
85314,EAST SALE AIRPORT,VIC,19.2,-38.10,147.14,5
86111,SPRINGVALE NECROPOLIS,VIC,19.1,-37.94,145.18,73
9240,BICKLEY,WA,19.0,-32.01,116.14,384
33269,ROMA PEAK ALERT,QLD,19.0,-20.31,148.22,148
39339,NEARUM RD ALERT,QLD,19.0,-25.11,151.85,300
40827,BAN BAN TM,QLD,19.0,-25.71,151.81,122
54121,BUKKULLA (RFS),NSW,19.0,-29.50,151.13,581
56161,GUYRA (GOWAN BRAE),NSW,19.0,-30.16,151.88,1325
60163,YARRAS MOUNTAIN,NSW,19.0,-31.46,152.32,679
22841,KINGSCOTE AERO,SA,18.8,-35.71,137.52,6
82154,SEVEN CREEKS AT D/S POLLY MCQUINNS WEIR,VIC,18.8,-36.89,145.68,440
86374,KINGLAKE WEST,VIC,18.8,-37.47,145.26,490
92111,UPPER ESK (SOUTH ESK RIVER),TAS,18.8,-41.43,147.72,362
9968,SHANNON,WA,18.6,-34.57,116.34,210
70349,MOUNT GININI AWS,NSW,18.6,-35.53,148.77,1760
82042,STRATHBOGIE,VIC,18.6,-36.85,145.73,501
95079,LACHLAN (WILLIAMS ROAD),TAS,18.6,-42.85,147.03,168
60117,MOUNT GEORGE (MANNING RIVER),NSW,18.5,-31.88,152.15,15
18115,NEPTUNE ISLAND,SA,18.4,-35.34,136.12,32
56037,ARMIDALE (TREE GROUP NURSERY),NSW,18.4,-30.52,151.67,987
82155,HOLLAND CK AT WRIGHTLEY,VIC,18.4,-36.82,146.13,430
40924,WOODFORD STANMORE,QLD,18.2,-26.90,152.77,165
82018,UPLANDS (GIBBO RIVER PARK),VIC,18.2,-36.77,147.70,610
82147,MERTON (ENDERLEE),VIC,18.2,-36.92,145.68,495
90175,PORT FAIRY AWS,VIC,18.2,-38.39,142.23,10
22807,KINGSCOTE,SA,18.1,-35.66,137.64,18
33008,BYFIELD CHILDS ROAD,QLD,18.0,-22.85,150.65,40
40830,BELLBIRD CREEK TM,QLD,18.0,-26.63,152.70,95
59131,MILLBANK,NSW,18.0,-30.88,152.61,70
59151,COFFS HARBOUR AIRPORT,NSW,18.0,-30.32,153.12,4
60013,FORSTER - TUNCURRY MARINE RESCUE,NSW,18.0,-32.18,152.51,4
85293,CAPE LIPTRAP (ILLAWONG),VIC,18.0,-38.90,145.94,95
86079,MORNINGTON,VIC,18.0,-38.24,145.07,60
91271,NUNAMARA OFFTAKE (ST PATRICKS RIVER),TAS,18.0,-41.40,147.30,351
94155,TASMAN ISLAND,TAS,18.0,-43.24,148.00,240
9066,GIDGEGANNUP,WA,17.8,-31.79,116.20,290
22817,FLINDERS CHASE (ROCKY RIVER),SA,17.8,-35.95,136.74,61
23875,PARAWA (SECOND VALLEY FOREST AWS),SA,17.8,-35.57,138.29,341
39332,LLOYONA,QLD,17.8,-24.41,149.84,108
42102,RIPPLE DOWNS AL,QLD,17.8,-27.94,150.14,248
56229,GUYRA HOSPITAL,NSW,17.8,-30.21,151.68,1329
82153,KITHBROOK (BALQUHAIN),VIC,17.8,-36.82,145.71,580
83019,MANSFIELD (POST OFFICE),VIC,17.8,-37.05,146.09,316
86088,OAKLEIGH (METROPOLITAN GOLF CLUB),VIC,17.8,-37.91,145.09,81
96081,POATINA,TAS,17.8,-41.80,146.96,312
60021,KRAMBACH (FIREFLY RD),NSW,17.6,-32.06,152.26,65
84015,ENSAY,VIC,17.6,-37.37,147.84,230
88059,TRENTHAM,VIC,17.6,-37.37,144.31,695
59124,NYMBOIDA (NYMBOIDA RIVER),NSW,17.5,-29.98,152.72,180
35040,WESTGROVE TM,QLD,17.4,-25.58,148.48,460
85303,REEVES KNOB,VIC,17.4,-37.53,147.01,-999
90070,PORTLAND,VIC,17.4,-38.35,141.59,55
97080,LOW ROCKY POINT,TAS,17.4,-42.98,145.50,34
3108,YAMPI SOUND (DEFENCE),WA,17.2,-16.77,123.98,41
39000,ABERCORN,QLD,17.2,-25.13,151.13,200
40867,KALBAR TM,QLD,17.2,-27.94,152.62,80
41348,WYAGA TM,QLD,17.2,-28.17,150.64,267
82170,BENALLA AIRPORT,VIC,17.2,-36.55,146.00,171
94041,MAATSUYKER ISLAND LIGHTHOUSE,TAS,17.2,-43.66,146.27,147
94191,HARTZ MOUNTAIN (KEOGHS PIMPLE),TAS,17.2,-43.20,146.77,831
85297,MAFFRA,VIC,17.1,-37.97,146.99,35
33302,MIRANI WEIR TW ALERT,QLD,17.0,-21.18,148.83,34
33303,MACKAY ALERT,QLD,17.0,-21.14,149.19,11
39104,MONTO TOWNSHIP,QLD,17.0,-24.86,151.12,239
39319,ABERCORN TM,QLD,17.0,-25.13,151.13,184
40876,WILSONS PEAK ALERT,QLD,17.0,-28.24,152.49,852
42025,HORSE CREEK AL,QLD,17.0,-26.55,150.63,350
43051,PINE HILLS TM,QLD,17.0,-26.26,149.24,350
53108,TERRY HIE HIE,NSW,17.0,-29.79,150.15,250
60095,BUNGWAHL,NSW,17.0,-32.38,152.38,-999
82140,LIMA EAST (CHARNWOOD),VIC,17.0,-36.85,145.94,340
87017,BLACKWOOD,VIC,17.0,-37.47,144.31,547
88067,YEA,VIC,17.0,-37.22,145.43,196
94261,FRANKLIN (SOUTH),TAS,17.0,-43.12,146.99,33
22049,STENHOUSE BAY,SA,16.8,-35.28,136.94,42
23891,PICCADILLY (WOODHOUSE),SA,16.8,-34.98,138.74,441
58099,WHIPORIE POST OFFICE,NSW,16.8,-29.28,152.99,50
60118,ROCKS CROSSING (NOWENDOC RIVER),NSW,16.8,-31.78,152.08,70
92123,SWAN ISLAND,TAS,16.8,-40.73,148.13,15
91236,WESTBURY (BIRRALEE ROAD),TAS,16.7,-41.51,146.83,186
83090,OMEO,VIC,16.6,-37.10,147.60,690
94198,CAPE BRUNY (CAPE BRUNY),TAS,16.6,-43.49,147.14,60
3098,MOUNT HOUSE AIRSTRIP,WA,16.4,-17.05,125.71,270
23867,ASHTON,SA,16.4,-34.93,138.75,496
23873,CRAFERS WEST,SA,16.4,-34.99,138.69,570
39067,MOONMERA,QLD,16.4,-23.58,150.40,137
43097,TEELBA,QLD,16.4,-27.76,149.40,237
84097,BULLUMWAAL,VIC,16.4,-37.68,147.55,-999
85034,GLENMAGGIE WEIR,VIC,16.4,-37.91,146.80,91
91263,CORRA LINN (NORTH ESK RIVER),TAS,16.4,-41.49,147.23,41
18188,COFFIN BAY,SA,16.2,-34.63,135.47,12
85276,AVON RIVER @ THE CHANNEL,VIC,16.2,-37.80,146.88,-999
86377,UPPER PLENTY,VIC,16.2,-37.42,145.08,325
94274,FERN TREE (WESTRINGA ROAD),TAS,16.2,-42.93,147.25,401
9015,KARRAGULLEN NORTH,WA,16.0,-32.09,116.13,330
33304,GARGETT ALERT,QLD,16.0,-21.18,148.74,53
41219,REDBANK,QLD,16.0,-27.99,151.55,414
56242,INVERELL (RAGLAN ST),NSW,16.0,-29.78,151.11,582
91072,LAUNCESTON (KINGS MEADOWS),TAS,16.0,-41.47,147.16,67
91293,LOW HEAD,TAS,16.0,-41.05,146.79,3
18094,WIRRULLA,SA,15.8,-32.40,134.53,79
18230,COFFIN BAY (POINT AVOID),SA,15.8,-34.68,135.34,35
40394,MOUNT BARNEY,QLD,15.8,-28.23,152.78,227
41359,OAKEY AERO,QLD,15.8,-27.40,151.74,406
56018,INVERELL RESEARCH CENTRE,NSW,15.8,-29.78,151.08,664
57005,DRAKE (VILLAGE RESOURCE CENTRE),NSW,15.8,-28.93,152.38,490
91303,WESTWOOD BRIDGE (MEANDER RIVER),TAS,15.8,-41.52,147.03,137
23846,BELAIR,SA,15.6,-35.00,138.66,480
39349,WESTWOOD TM,QLD,15.6,-23.63,150.15,160
82084,BOHO (HONEYSUCKLE CK U/S VIOLET TOWN),VIC,15.6,-36.71,145.76,330
82145,GOORAM (HILLSIDE),VIC,15.6,-36.88,145.58,255
85166,STRATFORD,VIC,15.6,-37.96,147.08,25
94213,FORTESCUE BAY,TAS,15.6,-43.15,147.96,25
94220,GROVE (RESEARCH STATION),TAS,15.6,-42.98,147.08,65
9923,WORSLEY DOWNS,WA,15.4,-33.32,115.99,240
23750,URAIDLA,SA,15.4,-34.96,138.74,487
55309,DUNGOWAN (GLENDOWER MOUNTAIN (LECONFIELD,NSW,15.4,-31.15,151.23,1050
82116,MYRRHEE (BOGGY CK AT ANGLESIDE),VIC,15.4,-36.61,146.36,-999
96083,THE DEN,TAS,15.4,-41.98,147.05,526
18019,COULTA,SA,15.3,-34.39,135.47,75
18054,PORT KENNY (MOUNT COOPER),SA,15.2,-33.03,134.70,150
23842,MOUNT LOFTY,SA,15.2,-34.98,138.71,685
41545,DUNMORE EXCHANGE TM,QLD,15.2,-27.65,150.91,350
60137,BRETTI-MACKAY (BARNARD RIVER),NSW,15.2,-31.77,151.89,120
82128,HURDLE CK AT BOBINAWARRAH,VIC,15.2,-36.51,146.45,-999
94179,JUDBURY (HUON RIVER),TAS,15.2,-43.00,146.93,21
99014,MEMANA (BABEL FARM),TAS,15.2,-40.02,148.18,12
14913,ELIZABETH DOWNS,NT,15.0,-13.74,130.49,36
18079,STREAKY BAY,SA,15.0,-32.81,134.20,45
33277,MIRANI WEIR TW TM,QLD,15.0,-21.18,148.83,34
33312,HEDLOW AIRFIELD TM,QLD,15.0,-23.22,150.61,30
33329,OORALEA RACECOURSE (MACKAY TURF CLUB),QLD,15.0,-21.17,149.15,10
35182,KINNOUL,QLD,15.0,-25.68,149.63,200
39036,EIDSVOLD POST OFFICE,QLD,15.0,-25.37,151.12,197
39338,OLD RANGE RD ALERT,QLD,15.0,-25.36,152.10,50
40822,GREGOR CREEK TM,QLD,15.0,-27.00,152.40,83
41092,BALLON AL,QLD,15.0,-26.45,150.89,335
56199,WYLIE CREEK (BURRENBAR),NSW,15.0,-28.56,152.12,777
59139,NANA GLEN (COWLING CLOSE),NSW,15.0,-30.10,153.00,70
51162,WALGETT (BREWON AWS),NSW,14.8,-30.24,147.53,130
60155,WAUKIVORY,NSW,14.8,-32.13,152.06,158
61431,MURRURUNDI (HAYDON STREET),NSW,14.8,-31.77,150.84,467
82076,DARTMOUTH RESERVOIR,VIC,14.8,-36.54,147.50,370
82165,STUMP HILL (BARJARG),VIC,14.8,-36.95,146.01,312
86282,MELBOURNE AIRPORT,VIC,14.8,-37.67,144.83,113
86361,CERBERUS,VIC,14.8,-38.36,145.18,13
88166,PUCKAPUNYAL WEST (DEFENCE),VIC,14.8,-37.02,144.85,293
23817,ALDGATE,SA,14.6,-35.02,138.74,442
41507,NEW KILDONAN TM,QLD,14.6,-28.67,150.45,230
55335,NUNDLE (MALONGA),NSW,14.6,-31.53,151.18,1200
90186,WARRNAMBOOL AIRPORT NDB,VIC,14.6,-38.29,142.45,71
97000,CAPE SORELL,TAS,14.6,-42.20,145.17,19
88110,CASTLEMAINE PRISON,VIC,14.5,-37.08,144.24,330
1026,DRYSDALE RIVER STATION,WA,14.4,-15.70,126.38,370
9023,JARRAHDALE,WA,14.4,-32.33,116.08,240
40891,BROOWEENA TM,QLD,14.4,-25.60,152.26,164
53018,CROPPA CREEK (KRUI PLAINS),NSW,14.4,-28.99,150.02,222
55046,PINE RIDGE (BILLABONG),NSW,14.4,-31.53,150.44,340
56239,WILSONS DOWNFALL,NSW,14.4,-28.70,152.10,970
84084,MALLACOOTA,VIC,14.4,-37.60,149.73,22
88010,WILLOWMAVIN (AVALON STATION),VIC,14.4,-37.25,144.86,381
94175,LUCASTON (BAKERS CREEK ROAD),TAS,14.4,-42.97,147.04,127
23704,BELAIR (STATE FLORA NURSERY),SA,14.2,-35.01,138.65,305
79109,PATYAH (BOOROOPKI COMPARISON),VIC,14.2,-36.81,141.26,139
92120,ST HELENS AERODROME,TAS,14.2,-41.34,148.28,48
18063,PENONG,SA,14.0,-31.93,133.01,16
18099,YEELANNA,SA,14.0,-34.13,135.73,95
33294,YEPPOON THE ESPLANADE,QLD,14.0,-23.14,150.75,6
40020,BLACKBUTT STATE SCHOOL,QLD,14.0,-26.89,152.10,445
40319,ROCKY POINT SUGAR MILL,QLD,14.0,-27.73,153.33,3
40534,WUNBURRA,QLD,14.0,-28.16,153.26,566
41514,LEYBURN TM,QLD,14.0,-28.03,151.58,-999
42116,ARDEN DOWNS TM,QLD,14.0,-28.23,149.56,230
63293,OBERON (JENOLAN CAVES ROAD),NSW,14.0,-33.74,149.88,1190
39242,BROADMEADOWS,QLD,13.8,-23.40,150.62,15
41053,JONDARYAN POST OFFICE,QLD,13.8,-27.37,151.59,390
58161,GRAFTON AIRPORT AWS,NSW,13.8,-29.76,153.03,25
82138,WANGARATTA AERO,VIC,13.8,-36.42,146.31,153
82162,ROSEWHITE FLD,VIC,13.8,-36.58,146.82,253
85033,GIFFARD,VIC,13.8,-38.42,147.09,12
88064,MOLLISONS CK AT PYALONG,VIC,13.8,-37.12,144.86,247
89003,BALMORAL (POST OFFICE),VIC,13.8,-37.25,141.84,180
95003,BUSHY PARK (BUSHY PARK ESTATES),TAS,13.8,-42.71,146.90,27
40104,KALBAR STATE SCHOOL,QLD,13.7,-27.94,152.62,100
7103,NEDS CREEK,WA,13.6,-25.48,119.65,600
23890,BELAIR (ST JOHNS),SA,13.6,-35.00,138.62,316
29181,LAKE JULIUS AWS,QLD,13.6,-20.12,139.73,237
33313,THE GLEN TM,QLD,13.6,-22.83,150.34,60
40677,MAROON DAM,QLD,13.6,-28.18,152.66,231
84140,NICHOLSON WINERY,VIC,13.6,-37.80,147.76,42
90060,NULLAWARRE,VIC,13.6,-38.47,142.75,55
9271,BUNGENDORE,WA,13.4,-32.19,116.06,200
60036,WINGHAM (LANARK CLOSE),NSW,13.4,-31.86,152.34,66
82029,MILAWA BROWN BROS,VIC,13.4,-36.46,146.43,158
91260,STRATHBRIDGE (MEANDER RIVER),TAS,13.4,-41.49,146.90,160
94071,EAGLEHAWK NECK (JETTY ROAD),TAS,13.4,-43.02,147.91,12
86020,CHELTENHAM KINGSTON CENTRE,VIC,13.3,-37.96,145.08,39
29008,CLONCURRY MCILLWRAITH ST,QLD,13.2,-20.71,140.52,196
41162,BYBERA TM,QLD,13.2,-28.27,150.81,290
79011,EDENHOPE (ELIZABETH ST),VIC,13.2,-37.03,141.28,159
82149,EUROA (CASTLE CK AT TELFORD BRIDGE),VIC,13.2,-36.79,145.57,190
86338,MELBOURNE (OLYMPIC PARK),VIC,13.2,-37.83,144.98,8
87184,BREAKWATER (GEELONG RACECOURSE),VIC,13.2,-38.17,144.38,13
14801,HUMBERT RIVER,NT,13.0,-16.48,130.62,105
18195,MINNIPA PIRSA,SA,13.0,-32.84,135.15,165
39341,BYRNESTOWN ALERT,QLD,13.0,-25.52,151.76,120
41537,KILLARNEY ALERT,QLD,13.0,-28.34,152.29,507
41551,BELGRAE PARK ALERT,QLD,13.0,-26.97,151.48,480
57091,URALLA (BLUE NOBBY),NSW,13.0,-30.72,151.85,1067
60099,CRAWFORD RIVER (CRAWFORD),NSW,13.0,-32.44,152.16,-999
63043,KURRAJONG HEIGHTS (BELLS LINE OF ROAD),NSW,13.0,-33.53,150.63,460
72043,TUMBARUMBA POST OFFICE,NSW,13.0,-35.78,148.01,645
82143,SHEANS CREEK (HERONSLEA),VIC,13.0,-36.79,145.66,220
90015,CAPE OTWAY LIGHTHOUSE,VIC,13.0,-38.86,143.51,80
7179,TANGADEE,WA,12.8,-24.41,118.94,550
10026,GOODLANDS,WA,12.8,-30.06,117.14,310
23801,LENSWOOD,SA,12.8,-34.95,138.81,480
40763,WIVENHOE DAM,QLD,12.8,-27.40,152.61,73
43091,ROMA AIRPORT,QLD,12.8,-26.55,148.77,307
61282,DORA CREEK (DORA ST),NSW,12.8,-33.09,151.51,1
72169,TUMBARUMBA (WONDALMA),NSW,12.8,-35.71,148.00,675
89019,MIRRANATWA (BOWACKA),VIC,12.8,-37.40,142.38,248
58068,LAWRENCE ROAD (PRINGLES WAY),NSW,12.6,-29.41,153.02,110
60042,CRAVEN (LONGVIEW),NSW,12.6,-32.15,151.95,130
38035,TRINIDAD,QLD,12.5,-25.59,143.89,255
1024,ELLENBRAE,WA,12.4,-15.96,127.06,300
9113,ROLEYSTONE,WA,12.4,-32.11,116.08,250
18069,ELLISTON,SA,12.4,-33.65,134.89,7
82144,KELVIN VIEW (WATERHOUSE RESERVOIR),VIC,12.4,-36.82,145.64,300
2022,MOUNT WINIFRED,WA,12.2,-18.02,126.30,180
3052,MOUNT HART STATION,WA,12.2,-16.82,124.92,190
23710,CLARENDON,SA,12.2,-35.11,138.62,267
40912,FRANKLYN VALE ALERT,QLD,12.2,-27.76,152.47,160
41152,LANGLEY TM,QLD,12.2,-27.98,150.92,360
88001,ALEXANDRA (POST OFFICE),VIC,12.2,-37.19,145.71,221
91326,DEDDINGTON (NILE RIVER),TAS,12.2,-41.60,147.41,240
94231,LONGLEY (RIVER BEND ROAD),TAS,12.2,-42.96,147.20,237
9805,WALPOLE FORESTRY,WA,12.1,-34.98,116.73,15
94263,ABELS BAY (SANDREEF ROAD),TAS,12.1,-43.23,147.10,30
23865,LENSWOOD (STRINGYBARK),SA,12.0,-34.89,138.81,547
35068,WADDY BRAE TM,QLD,12.0,-25.61,148.94,470
39326,GLADSTONE AIRPORT,QLD,12.0,-23.87,151.22,17
41473,PRATTEN CONDAMINE RIVER,QLD,12.0,-28.10,151.81,417
41493,THE DEEP CROSSING,QLD,12.0,-27.49,150.46,308
59054,GLENREAGH (CORAMBA STREET),NSW,12.0,-30.05,152.98,67
61350,UPPER CHICHESTER (SIMMONDS),NSW,12.0,-32.17,151.59,265
86077,MOORABBIN AIRPORT,VIC,12.0,-37.98,145.10,12
88109,MANGALORE AIRPORT,VIC,12.0,-36.89,145.19,141
92114,FRIENDLY BEACHES,TAS,12.0,-42.00,148.28,55
94125,MARGATE (SUNNYSIDE),TAS,12.0,-43.02,147.25,24
94237,MOUNTAIN RIVER,TAS,12.0,-42.94,147.14,170
9739,TELINA DOWNS,WA,11.8,-33.68,122.33,170
18023,CUMMINS,SA,11.8,-34.26,135.73,65
18217,CUMMINS AERO,SA,11.8,-34.25,135.71,60
22046,EDITHBURGH,SA,11.8,-35.11,137.74,6
23803,ASHTON CO-OP,SA,11.8,-34.94,138.73,540
23882,LOBETHAL (MAIDMENT ROAD),SA,11.8,-34.87,138.91,497
25557,KEITH (MUNKORA),SA,11.8,-36.11,140.33,27
25560,BORDERTOWN (INDUSTRIAL ESTATE),SA,11.8,-36.31,140.74,85
79071,APSLEY (POST OFFICE),VIC,11.8,-36.97,141.08,111
87175,NEWHAM (COBAW),VIC,11.8,-37.27,144.60,530
91237,LAUNCESTON (TI TREE BEND),TAS,11.8,-41.42,147.12,5
91311,LAUNCESTON AIRPORT,TAS,11.8,-41.55,147.22,167
91375,CRESSY (BRUMBYS CREEK),TAS,11.8,-41.71,147.08,152
94252,SOUTH HOBART (HILLBOROUGH ROAD),TAS,11.8,-42.90,147.30,160
18046,LOCK,SA,11.6,-33.57,135.76,147
18083,WUDINNA AERO,SA,11.6,-33.04,135.45,86
23799,PROSPECT HILL,SA,11.6,-35.22,138.73,360
39059,LADY ELLIOT ISLAND,QLD,11.6,-24.11,152.72,4
43015,INJUNE POST OFFICE,QLD,11.6,-25.84,148.57,390
43054,INJUNE TM,QLD,11.6,-25.84,148.57,390
70350,GINNINDERRA (CHARNWOOD (ACT)),NSW,11.6,-35.21,149.01,-999
88061,WOODEND,VIC,11.6,-37.36,144.54,560
200839,LORD HOWE ISLAND AERO,NSW,11.6,-31.54,159.08,5
61096,PATERSON POST OFFICE,NSW,11.5,-32.60,151.62,21
86232,MELBOURNE BOTANICAL GARDENS,VIC,11.5,-37.83,144.98,29
18171,MOUNT HOPE (FAIRVIEW),SA,11.4,-34.14,135.33,60
33077,PACIFIC HEIGHTS,QLD,11.4,-23.10,150.73,51
42016,HANNAFORD POST OFFICE,QLD,11.4,-27.34,150.06,283
57014,GLEN ELGIN (GLENBROOK),NSW,11.4,-29.56,152.14,895
73007,BURRINJUCK DAM,NSW,11.4,-35.00,148.60,390
88060,KINGLAKE WEST (WALLABY CREEK),VIC,11.4,-37.45,145.21,488
88126,GOULBURN RIVER @ SEYMOUR,VIC,11.4,-37.02,145.11,140
90184,CAPE NELSON LIGHTHOUSE,VIC,11.4,-38.43,141.54,45
95048,OUSE FIRE STATION,TAS,11.4,-42.48,146.71,90
95081,NEW NORFOLK (WEST),TAS,11.4,-42.78,147.03,10
2067,KUNUNURRA CHECKPOINT,WA,11.2,-15.98,129.00,80
9277,LAKE CHITTERING,WA,11.2,-31.43,116.09,130
9871,WINDY HARBOUR,WA,11.2,-34.84,116.03,5
9936,HUNTLY,WA,11.2,-32.62,116.06,320
26109,LAKE GEORGE (MAHARISHI VEDIC COLLEGE),SA,11.2,-37.38,139.95,5
33247,PROSERPINE AIRPORT,QLD,11.2,-20.49,148.56,20
57123,NEWTON BOYD (ABBEY GREEN),NSW,11.2,-29.76,152.21,325
87162,GNARWARRE (BARWON RIVER AT POLLOCKSFORD),VIC,11.2,-38.14,144.19,40
93044,LLEWELLYN (SOUTH ESK RIVER),TAS,11.2,-41.82,147.57,180
35282,TAROOM TM,QLD,11.0,-25.64,149.79,181
40026,MUNGAR GAYNDAH ST,QLD,11.0,-25.60,152.59,40
55336,NUNDLE (HEAD OF THE PEEL),NSW,11.0,-31.60,151.14,-999
61419,MOUNT PALMER,NSW,11.0,-31.83,150.35,1050
74272,KAPOOKA (DEFENCE),NSW,11.0,-35.13,147.25,187
79017,GOROKE (POST OFFICE),VIC,11.0,-36.72,141.47,162
82090,DEDERANG,VIC,11.0,-36.48,147.03,261
84128,WEERAGUA (CANN RIVER (EAST BRANCH) AT CH,VIC,11.0,-37.36,149.21,240
88123,KYNETON,VIC,11.0,-37.25,144.43,525
88162,WALLAN (KILMORE GAP),VIC,11.0,-37.38,144.97,528
91325,HUMMOCKY HILLS,TAS,11.0,-41.73,147.24,477
300004,MACQUARIE ISLAND,ANT,11.0,-54.50,158.94,6
1025,DOONGAN,WA,10.8,-15.38,126.31,385
23734,MOUNT BOLD RESERVOIR,SA,10.8,-35.12,138.68,251
51164,GIRILAMBONE (OKEH) AWS,NSW,10.8,-31.08,146.93,178
60015,GLOUCESTER POST OFFICE,NSW,10.8,-32.01,151.96,105
79099,EDENHOPE AIRPORT,VIC,10.8,-37.02,141.27,155
88015,CLUNES,VIC,10.8,-37.30,143.78,332
89084,WARRAMBINE CK AT WARRAMBINE,VIC,10.8,-37.93,143.87,180
109501,MOUNT WILLIAM,WA,10.8,-32.94,116.02,484
9111,KARNET,WA,10.6,-32.44,116.08,286
9260,MOUNT SOLUS,WA,10.6,-32.47,116.21,574
9281,MILLENDON (SWAN VALLEY),WA,10.6,-31.81,116.02,16
9579,OAKE MARSH FARM,WA,10.6,-33.76,122.07,60
23905,URAIDLA (SUTTON CREEK),SA,10.6,-34.97,138.74,483
39186,BINGERA SUGAR MILL,QLD,10.6,-24.93,152.20,60
41529,TOOWOOMBA AIRPORT,QLD,10.6,-27.54,151.91,641
56006,BUNDARRA POST OFFICE,NSW,10.6,-30.17,151.08,654
61024,GRESFORD POST OFFICE,NSW,10.6,-32.43,151.54,85
70328,BOMBALA AWS,NSW,10.6,-37.00,149.23,761
83032,WHITLANDS (BURDER\'S LANE),VIC,10.6,-36.85,146.32,816
84126,SNOWY RIVER AT MCKILLOPS BRIDGE,VIC,10.6,-37.08,148.41,-999
86383,COLDSTREAM,VIC,10.6,-37.72,145.41,83
89045,BUANGOR (BIRANGA),VIC,10.6,-37.41,143.06,395
3099,LEOPOLD DOWNS TBRG,WA,10.4,-17.75,125.38,220
9182,MAIDA VALE,WA,10.4,-31.97,116.02,100
9998,NORTH WALPOLE,WA,10.4,-34.95,116.72,73
23721,HAPPY VALLEY RESERVOIR,SA,10.4,-35.06,138.57,174
26091,COONAWARRA,SA,10.4,-37.29,140.83,57
35242,BUNGABAN TM,QLD,10.4,-25.90,150.13,260
58012,YAMBA PILOT STATION,NSW,10.4,-29.43,153.36,27
61346,HUNTER SPRINGS (WONDECLA),NSW,10.4,-31.86,151.44,1235
86038,ESSENDON AIRPORT,VIC,10.4,-37.73,144.91,78
89085,ARARAT PRISON,VIC,10.3,-37.28,142.98,295
9172,JANDAKOT AERO,WA,10.2,-32.10,115.88,30
18219,PUNTABIE (MUDABIE),SA,10.2,-32.18,134.08,52
48255,LIGHTNING RIDGE AIRPORT,NSW,10.2,-29.45,147.98,164
61250,PATERSON (TOCAL AWS),NSW,10.2,-32.63,151.59,30
86117,TOOROURRONG RESERVOIR (TOOROURRONG),VIC,10.2,-37.48,145.15,219
88053,SEYMOUR SHIRE DEPOT,VIC,10.2,-37.03,145.15,145
90063,PENSHURST (POST OFFICE),VIC,10.2,-37.88,142.29,233
200838,HOGAN ISLAND,TAS,10.2,-39.22,146.98,116
2053,LANSDOWNE,WA,10.0,-17.61,126.74,400
9982,HENTY BROOK,WA,10.0,-33.39,115.85,240
26007,FRANCES,SA,10.0,-36.71,140.96,103
33299,SARICH\'S ALERT,QLD,10.0,-21.27,148.82,48
35187,VALERIA ALERT,QLD,10.0,-23.19,147.89,207
35251,CRAIGMORE AL,QLD,10.0,-23.88,147.76,231
40770,ORMISTON COLLEGE,QLD,10.0,-27.52,153.25,37
40829,HELIDON TM,QLD,10.0,-27.54,152.11,124
41096,MT KYNOCH,QLD,10.0,-27.51,151.95,739
41516,ALLORA TM,QLD,10.0,-28.03,152.02,471
48031,COLLARENEBRI (ALBERT ST),NSW,10.0,-29.54,148.58,145
55321,MULLA CROSSING (COCKBURN RIVER),NSW,10.0,-31.06,151.13,-999
56038,WYLIE CREEK (ALOOMBA),NSW,10.0,-28.55,152.16,675
60104,NOWENDOC (GREEN HILLS),NSW,10.0,-31.41,151.60,1130
60148,WILLINA,NSW,10.0,-32.16,152.26,-999
61372,BLANDFORD (PAGES RIVER),NSW,10.0,-31.80,150.93,450
61412,COORANBONG (LAKE MACQUARIE AWS),NSW,10.0,-33.09,151.46,6
63295,BLACKHEATH (WOMBAT STREET),NSW,10.0,-33.63,150.28,1030
88051,REDESDALE,VIC,10.0,-37.02,144.52,290
89068,ROKEWOOD,VIC,10.0,-37.90,143.72,177
92141,GRAY (DALMAYNE RD),TAS,10.0,-41.63,148.23,384
22023,YORKETOWN,SA,9.8,-35.02,137.60,20
23887,KUITPO FOREST RESERVE,SA,9.8,-35.17,138.68,365
41550,GRAYS GATE EXCHANGE TM,QLD,9.8,-27.99,151.28,400
61392,MURRURUNDI GAP AWS,NSW,9.8,-31.74,150.79,729
64025,COOLAH (BINNIA ST),NSW,9.8,-31.82,149.72,495
70032,FAIRLIGHT STATION,NSW,9.8,-35.23,148.91,610
84016,GABO ISLAND LIGHTHOUSE,VIC,9.8,-37.57,149.92,15
88043,MARYBOROUGH,VIC,9.8,-37.06,143.73,249
90180,AIREYS INLET,VIC,9.8,-38.46,144.09,105
90147,COLAC (SHIRE OFFICE),VIC,9.7,-38.34,143.58,132
23910,KANGARILLA (SADDLEBAGS),SA,9.6,-35.13,138.69,385
26099,NARACOORTE AERODROME,SA,9.6,-36.98,140.73,50
